Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Owner_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour,Minute
Wednesday,31-50,Male,Elementary school,Below 1yr,Automobile,Owner,2-5yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Female,Over 51,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,5
Wednesday,18-30,Male,High school,2-5yr,Lorry (11?40Q),Owner,,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Fatal injury,20,30
Wednesday,18-30,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,4,6,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,20,30
Wednesday,18-30,Male,Above high school,Above 10yr,Pick up upto 10Q,Owner,Above 10yr, Industrial areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Turnover,Pedestrian,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,20,30
Friday,Over 51,Male,Junior high school,2-5yr,Lorry (11?40Q),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Entering a junction,na,na,na,na,Not a Pedestrian,Overtaking,Serious Injury,11,15
Friday,31-50,Male,Junior high school,2-5yr,Stationwagen,Organization,Unknown,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,4,6,Entering a junction,Driver or rider,Male,5,2,Not a Pedestrian,No distancing,Serious Injury,11,15
Friday,31-50,Male,High school,1-2yr,Other,Owner,1-2yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Other,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Entering a junction,Pedestrian,Male,5,3,Not a Pedestrian,No priority to vehicle,Serious Injury,11,15
Thursday,31-50,Male,Junior high school,5-10yr,Other,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Entering a junction,na,na,na,na,Not a Pedestrian,Changing lane to the right,Serious Injury,16,40
Thursday,18-30,Male,Junior high school,Below 1yr,Lorry (11?40Q),Owner,5-10yrs, Church areas,Undivided Two way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,4,6,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Serious Injury,16,40
Monday,31-50,Male,Junior high school,Below 1yr,,Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,Pedestrian,Female,18-30,2,Crossing from driver's nearside,No distancing,Slight Injury,13,30
Monday,18-30,Male,Elementary school,,Automobile,Owner,Unknown,,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,13,30
Friday,31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,3,5,Entering a junction,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,19,30
Friday,31-50,Female,Junior high school,1-2yr,Other,Owner,Unknown,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Entering a junction,na,na,na,na,Not a Pedestrian,Driving carelessly,Serious Injury,19,30
Saturday,Under 18,Male,Elementary school,2-5yr,Lorry (41?100Q),Owner,Unknown, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Y Shape,Earth roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Entering a junction,Driver or rider,Female,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,23,35
Saturday,Under 18,Male,High school,1-2yr,Automobile,Governmental,,Other,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,5,Entering a junction,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,23,35
Saturday,Under 18,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,Unknown, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Entering a junction,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Serious Injury,23,35
Wednesday,18-30,Male,Junior high school,Below 1yr,Lorry (41?100Q),Owner,Unknown, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,5,Other,na,na,na,na,Not a Pedestrian,No distancing,Serious Injury,9,5
Thursday,31-50,Male,High school,Above 10yr,Public (13?45 seats),Owner,Above 10yr,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,31-50,3,Crossing from driver's nearside,Changing lane to the left,Slight Injury,15,50
Thursday,31-50,Male,Elementary school,5-10yr,Long lorry,Governmental,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,15,50
Saturday,Under 18,Male,Elementary school,Below 1yr,Automobile,Owner,5-10yrs,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Other,na,na,na,na,Not a Pedestrian,Moving Backward,Serious Injury,20,10
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Crossing from driver's nearside,Changing lane to the right,Slight Injury,21,50
Wednesday,18-30,Male,Elementary school,5-10yr,Other,,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,2,Not a Pedestrian,No priority to vehicle,Slight Injury,21,50
Saturday,Under 18,Female,Junior high school,2-5yr,,Owner,Above 10yr,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,21,20
Saturday,Under 18,Male,Junior high school,Above 10yr,Long lorry,Owner,Above 10yr,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,21,20
Tuesday,Under 18,Male,Junior high school,5-10yr,Public (12 seats),Owner,Above 10yr,Other,One way,Steep grade downward with mountainous terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Female,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,5,50
Tuesday,Under 18,Male,High school,1-2yr,Public (12 seats),Owner,Above 10yr,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,5,50
Tuesday,18-30,Male,Elementary school,5-10yr,Other,Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to pedestrian,Slight Injury,5,50
Monday,31-50,Male,Elementary school,2-5yr,Other,Owner,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,9,35
Monday,31-50,Male,Junior high school,Below 1yr,Other,Owner,1-2yr,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Not a Pedestrian,Driving carelessly,Slight Injury,9,35
Wednesday,Unknown,Male,Junior high school,Below 1yr,Public (12 seats),Owner,5-10yrs,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,5,2,Not a Pedestrian,Moving Backward,Slight Injury,18,40
Wednesday,Under 18,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,5-10yrs,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,40
Wednesday,Over 51,Male,Junior high school,5-10yr,Other,Owner,1-2yr, Hospital areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Earth roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to vehicle,Slight Injury,16,0
Wednesday,18-30,Male,Elementary school,1-2yr,Public (12 seats),Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,16,0
Tuesday,31-50,Male,Junior high school,,Other,Owner,5-10yrs,Residential areas,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Slight Injury,13,10
Tuesday,Over 51,Male,Elementary school,Above 10yr,Lorry (11?40Q),Owner,5-10yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,1,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,13,10
Friday,Unknown,Male,Junior high school,1-2yr,Other,Owner,1-2yr,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Reversing,Driver or rider,Female,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,20,30
Friday,Under 18,Male,,,Other,Owner,1-2yr,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,20,30
Friday,Over 51,Male,Junior high school,Above 10yr,Other,Owner,2-5yrs,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,No distancing,Slight Injury,19,0
Saturday,Unknown,Male,Elementary school,2-5yr,Pick up upto 10Q,Owner,Unknown,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Other,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,12,40
Wednesday,31-50,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Entering a junction,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,18,15
Wednesday,31-50,Male,Junior high school,Below 1yr,Other,Owner,Unknown,Office areas,Double carriageway (median),Gentle horizontal curve,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Turnover,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,18,15
Wednesday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,5,3,Not a Pedestrian,Changing lane to the left,Slight Injury,18,15
Wednesday,18-30,Male,High school,Above 10yr,Public (13?45 seats),Organization,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Unknown,Earth roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,18,15
Wednesday,18-30,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,7,50
Wednesday,18-30,Male,Elementary school,1-2yr,Pick up upto 10Q,Owner,Unknown,Office areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,3,2,Going straight,Driver or rider,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,7,50
Thursday,Under 18,Male,Junior high school,,Lorry (41?100Q),Governmental,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,10,20
Thursday,Over 51,Female,Elementary school,1-2yr,Public (12 seats),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,5,3,Not a Pedestrian,No distancing,Slight Injury,10,20
Saturday,Over 51,Male,Junior high school,1-2yr,Other,Owner,Unknown,Residential areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,23,5
Sunday,18-30,Male,Above high school,1-2yr,Lorry (41?100Q),Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Gentle horizontal curve,Y Shape,Asphalt roads,Wet or damp,Daylight,Normal,Vehicle with vehicle collision,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,0,50
Sunday,18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,Owner,5-10yrs, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,Overtaking,Slight Injury,0,50
Monday,18-30,Male,Junior high school,5-10yr,Other,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,10,30
Monday,18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,4,1,Getting off,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,10,30
Saturday,18-30,Male,High school,Below 1yr,Ridden horse,Owner,2-5yrs,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Moving Backward,Driver or rider,Male,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,13,5
Saturday,Over 51,Male,Junior high school,Above 10yr,Automobile,Owner,2-5yrs,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,Driver or rider,Female,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,13,5
Saturday,Over 51,Male,Junior high school,5-10yr,Automobile,Owner,2-5yrs,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,13,5
Monday,18-30,Female,Junior high school,Below 1yr,Stationwagen,Owner,5-10yrs,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Waiting to go,Driver or rider,Male,Over 51,3,Not a Pedestrian,Changing lane to the right,Serious Injury,17,45
Monday,31-50,Female,Junior high school,Above 10yr,Other,,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,17,45
Monday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,17,45
Monday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,2,Going straight,Passenger,Female,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,17,45
Friday,31-50,Male,Junior high school,5-10yr,Long lorry,Owner,Unknown,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Friday,Under 18,Male,Junior high school,1-2yr,Stationwagen,Owner,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17,25
Friday,31-50,Male,Junior high school,1-2yr,Public (12 seats),Owner,,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,4,2,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Changing lane to the right,Slight Injury,17,25
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Overtaking,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Friday,31-50,Male,High school,2-5yr,Public (12 seats),,,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Sunday,18-30,Male,High school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,11,10
Sunday,18-30,Male,Elementary school,2-5yr,Automobile,Owner,Unknown,Office areas,One way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Overtaking,Slight Injury,11,10
Sunday,31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Owner,Unknown,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Pedestrian,Male,31-50,3,Not a Pedestrian,Changing lane to the left,Slight Injury,11,10
Saturday,18-30,Male,High school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Slight Injury,3,15
Saturday,18-30,Male,Junior high school,No Licence,Pick up upto 10Q,Governmental,Unknown,Other,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,31-50,2,Not a Pedestrian,Driving carelessly,Slight Injury,3,15
Tuesday,31-50,Male,Junior high school,1-2yr,Other,Owner,Unknown,Office areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Other,2,2,Getting off,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,17,0
Tuesday,Under 18,Male,Junior high school,5-10yr,Automobile,Owner,Unknown,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Moving Backward,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,17,0
Friday,31-50,Male,Junior high school,1-2yr,Automobile,Governmental,2-5yrs,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Driver or rider,Female,18-30,3,Not a Pedestrian,No priority to vehicle,Fatal injury,17,10
Friday,Under 18,Male,Junior high school,Above 10yr,Lorry (11?40Q),Owner,1-2yr,Other,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Overtaking,na,na,na,na,Not a Pedestrian,Overturning,Fatal injury,17,10
Tuesday,31-50,Male,Junior high school,1-2yr,Bajaj,Owner,Above 10yr,Residential areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17,25
Tuesday,31-50,Male,Junior high school,1-2yr,Automobile,Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,31-50,3,Not a Pedestrian,No distancing,Slight Injury,17,25
Sunday,31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),Owner,Unknown,Other,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Male,31-50,3,Not a Pedestrian,Moving Backward,Serious Injury,18,0
Wednesday,31-50,Male,High school,1-2yr,Lorry (11?40Q),Owner,5-10yrs,Other,One way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,5,3,Not a Pedestrian,No priority to vehicle,Serious Injury,23,35
Wednesday,31-50,Male,Junior high school,1-2yr,Lorry (11?40Q),Owner,Unknown,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,3,Getting off,Driver or rider,Male,Under 18,3,Not a Pedestrian,No priority to vehicle,Slight Injury,23,35
Wednesday,Under 18,Male,Elementary school,Above 10yr,Automobile,Owner,2-5yrs,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,14,0
Wednesday,Under 18,Male,Junior high school,Above 10yr,,Owner,Unknown,School areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,3,Going straight,Pedestrian,Male,31-50,3,Unknown or other,No distancing,Slight Injury,14,0
Wednesday,Over 51,Male,Elementary school,Above 10yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury,14,0
Saturday,Unknown,Male,Junior high school,Above 10yr,Public (13?45 seats),Owner,Unknown,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,na,na,na,na,Not a Pedestrian,Driving under the influence of drugs,Serious Injury,14,40
Saturday,18-30,Male,Junior high school,1-2yr,Public (12 seats),Owner,5-10yrs,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the right,Serious Injury,14,40
Saturday,18-30,Male,Junior high school,5-10yr,Other,Owner,Unknown,School areas,,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Stopping,na,na,na,na,Not a Pedestrian,Changing lane to the left,Serious Injury,14,40
Sunday,31-50,Male,High school,2-5yr,Automobile,Governmental,,School areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Other,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,2,Overtaking,Driver or rider,Male,18-30,3,Not a Pedestrian,Driving carelessly,Slight Injury,12,50
Sunday,18-30,Male,Junior high school,2-5yr,Automobile,Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Going straight,Pedestrian,Female,18-30,3,Not a Pedestrian,Moving Backward,Slight Injury,12,50
Sunday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),Owner,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,Moving Backward,Serious Injury,12,50
